,name,discription
1045,                    myrrh                ,Fragrant gum resin that can be a skin sensitizer. There is little research showing it has any benefit for skin.Reference for this information:Healthnotes Review of Complementary and Integrative Medicine
1046,                    myrtle extract                ,"Contains volatile oil and tannins. It contains 1,8-cineole, a constituent responsible for severe sensitivity. It is recommended that this not come in contact with skin.Reference for this information:Journal of Natural Products, March 2002, pages 334–338"
1047,                    Myrtus communis extract                ,
1048,                    N6-furfuryladenine                ,Technical name for kinetin.
1049,                    N-acetyl-L tyrosine                ,
1050,                    NaPCA                ,
1051,                    Narcissus poeticus wax                ,Fragrant flower extract that can cause sensitivity.
1052,                    Nardostachys jatamansi                ,
1053,                    Nasturtium officinale extract                ,
1054,                    natto gum                ,"Fermentation product of soy protein. It may be a potent antioxidant.Reference for this information: Journal of Agricultural Food Chemistry, June 2002, pages 3592–3596"
1055,                    natural moisturizing factor (NMF)                ,"Substances within skin’s uppermost layers that help keep it smooth, hydrated and healthy-looking. Topical application helps reinforce skin’s surface so skin takes on a younger, replenished appearance.NMFs make up an expansive group of ingredients that include amino acids, lactic acid, sodium PCA, various sugars and minerals, and peptides. Together with the naturally-occurring lipids in skin (examples would be ceramides, cholesterol, and glycosaminoglycans), NMF’s work to keep skin’s surface intact and supple.It is worth noting that routine exposure to sensitizing ingredients like drying cleanising agents and denatured alcohol cause serious depletion of skin’s natural moisturizing factors, leading to visibly dry, tight-feeling, flaky skin.References for this information:Acta-dermato Venerologica, November 2016, pages 880-884Journal of Cosmetic Science, January-February 2010, pages 13-22Skin Pharmacology and Physiology, September–October 2004, pages 207–213Progressive Lipid Research, January 2003, pages 1–36Journal of Lipid Research, May 2002, pages 794–804Clinical Geriatric Medicine, February 2002, pages 103–120Journal of the European Academy of Dermatology and Venereology, November 2002, pages 587–594Journal of Investigative Dermatology, May 1996, pages 1096–1101British Journal of Dermatology, November 1995, pages 679–685"
1056,                    neem extract                ,"Primarily from India where it has a long and storied history, neem extract can be from the bark, seed, or leaf of this plant; the root, flower, and fruit forms are rarely used in skincare products.   The extracts have antioxidant and skin-calming benefits and may also help reduce the population of harmful microbes on skin’s surface.  Polysaccharides in neem extract can contribute to skin’s hydration level, while significant antioxidants include quercetin and beta-sitosterol.  Neem stem as a water-based extract contains multiple beneficial ingredients for skin that are believed to help visibly repair its appearance and improve hydration.    Reference for this information:  Pharmacognosy Magazine, July 2017, pages S316-S320 Journal of Photochemistry and Photobiology, April 2017, pages 161-170 Evidence-Based Complementary and Alternative Medicine, March 2016, ePublication Asian Pacific Journal of Tropical Biomedicine, July 2013, pages 505-514"
1057,                    neem oil                ,"Neem oil contains a chemical known as nimbidin that gives it a sulfur-like odor and some ability to help control fungus and also work as a pesticide. Neem oil can be a skin irritant and is also poisonous if ingested—avoid this form and note that the constituents that make the oil a problem for skin aren’t present in the extracts, which is why the extracts are rated differently.  References for this information: Scientific Reports, September 2016, ePublication Environmental Toxicology and Pharmacology, March 2013, pages 240-246 http://npic.orst.edu/factsheets/neemgen.html"
1058,                    neopentyl glycol dicaprylate/dicaprate                ,Used as an emollient and texture enhancer.
1059,                    neopentyl glycol diheptanoate                ,Mixture of texture-enhancing ingredient neopentyl glycol and grape-derived fatty acid heptanoic acid. The compound functions as a non-aqueous skin-softening agent and thickener.
1060,                    neroli                ,
1061,                    neroli oil                ,"Fragrant plant oil (Latin name Citrus aurantium) whose fragrance component, which has an orange blossom scent, can be a skin sensitizer. It also be a potent antioxidant. Reference for this information:Journal of Clinical Biochemistry and Nutrition, 2008, issue 1, pages 6-12"
1062,                    nettle extract                ,Extract that may have skin-soothing properties.Reference for this information: Healthnotes Review of Complementary and Integrative Medicine
1063,                    niacin                ,
1064,                    niacinamide                ,"Also known as vitamin B3 and nicotinic acid, niacinamide is a very effective skin-restoring ingredient that offers multiple benefits for aging skin. Among these benefits is the ability to visibly improve the appearance of enlarged pores, uneven skin tone, fine lines, dullness, and a weakened skin surface. Niacinamide can also mitigate the damage environmental attack can cause, and is stable in the presence of heat and light.    What about using vitamin C (ascorbic acid) and niacinamide in the same product or applied at the same time in separate products?   You might have read or heard that niacinamide and vitamin C shouldn’t be used at the same time, whether found together in the same product or applied separately one after the other. Rest assured, this combination is fine and is in fact quite beneficial!     The research this misconception is based on was conducted in the 1960s; the forms of niacinamide and vitamin C used in this study were not stabilized—although niacinamide itself is very stable. The base of the formula used in this study was also far different than today’s sophisticated skincare formulas. Today, cosmetic chemists know how to combine niacinamide and vitamin C in the ideal base formulas that enhance their compatibility.     The other common concern we’ve seen about combining these two ingredients has to do with the pH range. The concern is that the acidic environment ascorbic acid needs to be most effective will cause niacinamide will convert to nicotinic acid, a form that can be sensitizing, possibly inducing redness. Good news: This conversion process would only happen under conditions of the formula being exposed to very high heat for a long period of time. This would not apply to layering skincare products or to heat conditions that occur during manufacturing, transport, and storage of cosmetic products that contain niacinamide and ascorbic acid.What all of this means is that you can use or layer products containing both niacinamide and vitamin C knowing that they will not render each other any less effective. Each of these ingredients on its own can help to address dark spots, uneven skin tone, wrinkles, loss of firmness, and dullness. When used together, they become even more of a powerhouse! This duo will help give you an even better chance at achieving a radiant, smooth, even, younger-looking complexion. We take a deeper dive into this topic in this article.    References for this information: Journal of Agricultural Food and Chemistry, 2006, issue 7, pages 2558-2562 Dermatological Surgery, 2005, issue 7 part 2, pages 860-865 International Journal of Cosmetic Science, 2005, issue 3, pages 155-160 Journal of Cosmetic Dermatology, 2004, issue 2, pages 88-93 Journal of Investigative Dermatology, May 2017, page S116  International Journal of Pharmaceutics, March 2017, pages 158-162; and January 2013, Pages 192-201  Facial Plastic Surgery Clinics of North America, May 2016 , pages 145-152 Clinical, Cosmetic, and Investigational Dermatology, July 2015, pages 405-412 Skin Pharmacology and Physiology, June 2014, pages 311-315"
1065,                    nicotinamide                ,
1066,                    nicotinic acid                ,
1067,                    noni juice                ,"Also known as morinda or Morinda citrifolia, comes from a small evergreen tree. The research on this juice and its alleged health effects is considered “very preliminary” or “questionable,” and has yet to be supported by large-scale studies. Its primary benefit for skin, like that of most plants, is as a source of antioxidants. However, there are dozens and dozens of antioxidants with significant research on their benefits for skin, whereas very little exists for morinda. Like most antioxidant plants, noni (morindsa) also has skin-soothing properties.References for this information:Journal of Ethnopharmacology, January 2011, pages 108–115The Journal of Toxicological Sciences, October 2009, pages 581–585Journal of Natural Medicines, July 2009, pages 351–354Planta Medica, March 2007, pages 191–199"
1068,                    nonoxynols                ,Used as a mild cleansing agent.
1069,                    nylon-12                ,"Powder substance used as an absorbent and texture enhancer. When present in high amounts in skincare or makeup products, nylon-12 tends to have mattifying properties."
1070,                    Nymphaea tetragona                ,"Also known as pygmy waterlily. The stem has been shown to be a potent antioxidant.Reference for this information:Journal of Cosmetic Science, January/February 2007, pages 19-32"
1071,                    oak root extract                ,"Extract that may have beneficial properties, but that also can be a skin sensitizer."
1072,                    oat beta-glucan                ,
1073,                    oat bran extract                ,"Portion of the oat plant that contains antioxidant and skin-soothing properties.Reference for this information:Journal of Zhejiang University Science B, 2013, issue 2, pages 97-105"
1074,                    oat kernel extract                ,
1075,                    oatmeal                ,"Natural ingredient that has soothing properties on skin.Reference for this information:Skin Pharmacology and Applied Skin Physiology, 2002, issue 2, pages 120-124"
1076,                    octinoxate                ,"Also known as octyl methoxycinnamate and ethylhexyl methoxycinnamate, octinoxate is the oldest and most common sunscreen active used to protect skin, primarily against UVB rays. Although octinoxate does provide some UVA protection, it does not protect against the entire range of UVA wavelengths; therefore, there should be another UVA-protecting active present in any sunscreen you use.Octinoxate has a solid record of safety (decades of research and thousands of studies establishing its safety in sunscreens as indisputable). There are no studies that demonstrate octinoxate, when and as used in SPF products, is harmful. In the sole studies cited when such claims are made, the conditions are completely inapplicable to how sunscreen ingredients are used in skincare products. For example, such “studies” use extremely high concentrations of octinoxate (much higher than would ever be used in sunscreens) or even fed to lab animals. There simply isn’t any research backing the claim that octinoxate has any link to health risks when used in sunscreen formulas. In fact, the European Union’s permitted usage level for octinoxate in sunscreens is higher than the maximum amount permitted in the United States (7.5% in the United States, 10% in the EU).References for this information:Pharmazie, 2013, issue 1, pages 34-40Skin Pharmacology and Physiology, 2005, issue 4, pages170-174"
1077,                    octisalate                ,Technical name for active sunscreen ingredient octyl salicylate (also known as ethylhexyl salicylate).
1078,                    octocrylene                ,"Globally-approved sunscreen agent that protects skin from the UVB range of sunlight. It also helps stabilize the UVA sunscreen active, avobenzone. Like all synthetic sunscreen actives, octocrylene can be sensitizing for some people. References for this information:Quimica Nova, July 2014, volume 37AAPS PharmSciTech, 2009, pages 384-390Contact Dermatitis, April 2014, pages 193-204; and January 2003, pages 46-47Dermatologic Clinics, January 2006, pages 35-51"
1079,                    octyldodecanol                ,Clear colorless liquid that’s considered a long-chain fatty acid. It’s often used as a texture enhancer in moisturizers and lip products due to its lubricating and emollient properties. Octyldodecanol also helps prevent a formula from separating into its oil and liquid components. It’s a synthetic ingredient.
1080,                    octyldodecyl myristate                ,Mixture of octyldodecanol (texture enhancer) and myristic acid that forms a new compound that is used as a skin-softening agent and emollient.
1081,                    octyldodecyl neopentanoate                ,Skin-softening agent and emollient.
1082,                    octyl methoxycinnamate                ,"Sunscreen agent used to protect skin primarily from the sun’s UVB rays.Reference for this information: Skin Therapy Letter, 1997, volume 2, number 5"
1083,                    octyl palmitate                ,"Derived from palm oil, widely used in cosmetics as a texture enhancer and emollient."
1084,                    octyl salicylate                ,"Sunscreen agent also known as ethylhexyl salicylate. It’s used to protect skin primarily from UVB rays.Reference for this information:Skin Therapy Letter, 2008, issue 6, pages 5-7"
1085,                    octyl stearate                ,Used in cosmetics as a texture enhancer and emollient. 
1086,                    o-cymen-5-ol                ,Preservative used in cosmetics.
1087,                    Oenothera biennis oil                ,
1088,                    Olea europaea fruit oil                ,
1089,                    Olea europaea oil unsaponifiables                ,An unsaponifiable oil is the portion of a plant oil that is not broken down when the oil's fatty acids are refined for use in cosmetic products.
1090,                    oleanolic acid                ,"A potent skin-soothing ingredient known as a triterpene, it's especially when used in synthetic rather than natural form. Oleanolic acid also functions as an antioxidant. This ingredient is in a wide range of food, medicinal herbs, and plants.References for this information:European Journal of Pharmaceutical Sciences, October 2012, pages 549-555Folio Histochemica et Cytobiologica, Volume 4, 2011, pages 664-669Journal of Ethnopharmacology, December 1995, pages 57-68"
1091,                    oleic acid                ,Fatty acid used as a cleansing agent and texture enhancer.
1092,                    oleth-10                ,A form of fatty alcohol that functions as a texture enhancer and cleansing agent.
1093,                    oleths                ,Mild cleansing agents.
1094,                    oleyl erucate                ,"Skin-softening agent derived from oleyl alcohol, which is obtained chiefly from fish oil."
1095,                    olibanum extract                ,
1096,                    olive oil/olive fruit oil                ,"Emollient plant oil (Latin name Olea europaea) with benefits similar to several other non-fragrant plant oils. Olive oil is beneficial for dry skin because of its fatty acid content, some of which comes from the emollient squalene. Olive oil contains essential fatty acids dry skin needs, including oleic, palmitic, and linoleic acids. It also contains phenolic compounds that provide antioxidant benefit. A small number of animal tests show that topically applied olive oil can protect against environmental damage. This plant oil maintains a low potential for sensitivity. To be very clear: When olive oil is mixed in a formula in small amounts with other beneficial ingredients, you get the benefit of its slip and emollient properties along with some antioxidant benefit. The negative effects of olive oil are apparent only when used alone on skin.References for this information:Scientia Pharmaceutica, April-June 2012, pages 133-154International Journal for Vitamin and Nutrition Research, 2009, issue 3, pages152-165Talanta, 2008, issue 2, pages 924-934Alternative Medicine Review, November 2007, pages 331-342Carcinogenesis, November 2000, pages 2,085-2,090"
1097,                    Optunia ficus-indica stem extract                ,"A type of cactus also known as prickly pear whose stem is a bountiful source of antioxidant compounds known as polyphenols, many of which are excellent at visibly reducing signs of sensitized skin.Optunia ficus-indica stem extract is non-fragrant. Along with being a great source of antioxidants, it also contains polyunsaturated fatty acids and amino acids which deliver replenishing and hydrating benefits to skin.Like many plant-derived antioxidants, this one helps neutralize the damaging effects of airborne pollutants.References for this information:Journal of the Science of Food and Agriculture, December 2017, pages 5,065-5,073Pharmacognosy Magazine, October 2017, pages S424-S429Environmental Science and Pollution Research International, November 2015, pages 17,799-17,809Molecules, September 2014, pages 14,879-14,901"
1098,                    orange blossom                ,Fragrant extract that can also be a skin sensitizer.
1099,                    Orbignya martiana                ,
1100,                    Orbignya oleifera                ,
1101,                    orchid                ,Fragrant flower that can be a skin sensitizer.
1102,                    oregano                ,"Has beneficial properties, but can also be a skin sensitizer.Reference for this information:Journal of Food Protection, July 2001, pages 1019–1024"
1103,                    Origanum majorana                ,
1104,                    Origanum vulgare flower extract                ,
1105,                    orris root                ,Used primarily as a fragrant component due to its violet-like scent. It can cause sensitizing skin reactions and there is no research showing it has any benefit for skin.Reference for this information:Botanical Dermatology Database
1106,                    oryzanol                ,"Component of plants and their products, such as rice bran, that has potent antioxidant properties."
1107,                    Oryza sativa cera                ,"A natural, non-fragrant wax obtained from rice bran. It functions as a skin-softening agent, especially for dry skin."
1108,                    Oryza sativa oil                ,
1109,                    oxidoreductase                ,Large group of enzymes that block oxygen in different forms from generating environmental damage.
1110,                    oxybenzone                ,"Sunscreen agent (also known as benzophenone-3) that protects primarily from UVB rays, and some, but not all, UVA rays. It is part of the benzophenone group of chemicals. Oxybenzone is approved for use in specific concentrations for sunscreens sold in all major countries, including the United States, Canada, European Union countries, Japan, Australia, China, and South Korea. Its safety in sunscreens is well established.As a group, the benzophenones are used not only for sun protection but also as photostabilizers in cosmetics products. That means they keep products from turning color or from degrading in the presence of sunlight. They also have other uses, including flavor enhancers in food.Oxybenzone is sometimes called out as a sunscreen active that is damaging to undersea coral reefs, the theory being that the sunscreen gets into the water from human activity in the oceans. However, despite research showing oxybenzone negatively impacts coral components in vitro (meaning in a lab setting), there doesn’t seem to be conclusive causation in a marine environment, especially given the numerous other factors, including climate change, believed to be responsible for the loss of coral reefs. The Personal Care Products Council looked at the research and concluded the following: ““Degradation of the world’s coral reefs is a serious concern. According to the U.S. National Oceanic and Atmospheric Administration’s (NOAA) Coral Reef Conservation Program, coral reefs are threatened by an increasing array of impacts – primarily from global climate change, unsustainable fishing and other factors. There is no scientific evidence that under naturally-occurring conditions, sunscreen ingredients, which have been safely used around the world for decades, are contributing to this issue.”References for this information:Archives of Environmental Containment and Toxicology, February 2016, pages 265-288Photodermatology, Photoimmunology, and Photomedicine, 2011, pages 58-67Archives of Dermatology, July 2011 pages 865-866European Commission Directorate General for Health and Consumers. Opinion on Benzophenone-3. [Internet]. 2008 [cited 2015 July]. Available from: http://ec.europa.eu/health/ph_risk/committees/04_sccp/docs/sccp_o_159.pdf"
1111,                    ozokerite                ,"Mineral wax used as a texture enhancer in cosmetics, especially to add stability to lipsticks and stick foundations and keep them blended."
1112,                    P. elisabethae                ,The “P.” is short for the genus Pseudopterogorgia.
1113,                    PABA                ,
1114,                    padimate O                ,"Sunscreen agent that protects skin primarily from the sun’s UVB rays.References for this information:Skin Therapy Letter, 1997, volume 2, number 5"
1115,                    Padina pavonica extract                ,
1116,                    Paeonia albiflora extract                ,
1117,                    Paeonia suffruticosa extract                ,
1118,                    Palmaria palmata extract                ,Extract from a type of algae whose common name is dulse.
1119,                    palmarosa oil                ,
1120,                    palmitic acid                ,"Fatty acid found naturally in skin and used as the basis for many palmitate ingredients, such as isopropyl palmitate. Palmitic acid has many functions in cosmetics, from detergent cleansing agent to emollient. In a cleanser, it has the potential to be drying depending on what it’s combined with and the cleanser’s pH level. In moisturizers, palmitic acid is a very good emollient.References for this information:Biophysical Chemistry, August 2010, issues 1-3, pages 144-156Journal of Korean Medical Science, June 2010, pages 980-983Dermaviduals, 2003, issue 4, pages 54-56"
1121,                    palmitoyl dipeptide-10                ,"Palmitoyl dipeptide-10 is a synthetic peptide made of palmitic acid and dipeptide-10, which contains the amino acids alanine and histidine."
1122,                    palmitoyl hexapeptide-12                ,"Blend of the fatty acid palmitic acid with several amino acids, including glycine, histidine, and lysine, Also known as pal-KTTKS and formerly under the catchall term palmitoyl oligopeptide. Theoretically, many peptides have skin-restoring ability and this is one of the newer synthetic options that is believed to help skin look and act younger."
1123,                    palmitoyl oligopeptide                ,"Synthetic blend of the fatty acid palmitic acid with several amino acids. Also known as pal-KTTKS. Theoretically, many peptides have skin-restoring ability. Palmitoyl oligopeptide was the former catchall name for a handful of peptides, including palmitoyl hexapeptide-12. As more peptides were synthesized for use in skincare, specific names were developed to avoid confusion.References for this information:Experimental and Therapeutic Medicine, August 2016, pages 1,171-1,176Journal of Cosmetic Dermatology, June 2015, pages 152-160Biomolecules and Therapeutics, July 2014, pages 321-327"
1124,                    palmitoyl pentapeptide-4                ,"Trade name Matrixyl, a fatty acid mixed with amino acids. Manufactured by the French lab Sederma, it is used primarily as an ingredient in cosmetics making anti-wrinkle claims. Studies both from Sederma and from independent researchers have shown palmitoyl pentapeptide-4 can have an impact on the visual signs of aging, including fine lines and wrinkles.References for this information:Molecular Pharmaceutics, March 2013, pages 1,063-1,069Clinica in Plastic Surgery, July 2011, pages 397-407International Journal of Cosmetic Science, June 2005, pages 155-160"
1125,                    palmitoyl tetrapeptide-7                ,"Synthetic peptide that's part of Matrixyl 3000, which also contains palmitoyl oligopeptide, and is believed to work as a skin-restoring ingredient with anti-aging benefits.This peptide is composed of four amino acids plus fatty acid palmitic acid to enhance stability and penetration into the skin. Peptides have different functions on skin, and this particular peptide, on its own or as part of Matrixyl 3000, helps to replenish skin's surface and calm visible signs of sensitization.Reference for this information:Molecular Pharmaceutics, March 2013, pages 1,063-1,069"
1126,                    palmitoyl tripeptide-1                ,"Also known as pal-GHK and palmitoyl oligopeptide, palmitoyl tripeptide-1 is a synthetic fatty acid-linked peptide that can help repair visible skin damage and strengthen skin’s underlying supportive elements.   It’s categorized as a messenger peptide because of its ability to “tell” skin how to look better, specifically in regard to visibly fading signs of sun damage like wrinkles and rough texture.  Some research has shown that this peptide has similar anti-aging benefits to retinol, but there’s no reason a person cannot use both ingredients for even greater benefits.    References for this information:  Experimental and Therapeutic Medicine, August 2016, pages 1,171-1,176 International Journal of Cosmetic Science, June 2000, pages 207-218"
1127,                    Palmitoyl Tripeptide-38                ,"An ingredient manufactured by the brand Sederma under the trade name MATRIXYL synthe’6. The only research so far showing this ingredient’s benefit comes from the brand. That research followed 25 women between the ages of 42 to 70 years old who had forehead lines and crow’s feet. After two months, the women reported a decrease in signs of aging of 31% in some cases, and up to 100% in others using a 2% concentration of MATRIXYL synthe’6 versus the placebo.References for this information:Sederma. Matrixyl synthe’ 6. Sederma, Inc. Claim Substantiation Sheet, 2010."
1128,                    palmitoyl tripeptide-5                ,"A synthetic peptide that is believed to play a role in the appearance of skin firmness. See more about peptides and their function in skincare products in our article Peptides for Skin.Reference for this information:Journal of Clinical and Aesthetic Dermatology, March 2009, issue 3, pages 38-43"
1129,                    palmitoyl tripeptide-8                ,"A plant-derived or synthetic peptide made from combining the fatty acid palmitic acid with tripeptide-8. Paula’s Choice Skincare uses a synthetic version of this peptide consisting of the amino acids arginine, histidine and phenylalanine.The number at the end of the name refers to the chemical structure of the peptide and the type of the amino acids the chain contains."
1130,                    palm kernel acid                ,"A mixture of fatty acids derived from palm oil. Used as a cleansing agent, emulsifier, or to add opacity to cosmetic products such as soaps and water-soluble cleansers. Whereas derivatives of this ingredient are typically synthetic, palm kernel acid is natural."
1131,                    palm oil                ,Has emollient and antioxidant properties for skin.
1132,                    Panax ginseng root extract                ,"A popular herbal supplement said to help with all kinds of issues—from enhancing memory and physical stamina to defending against illnesses—there is far more known about how ginseng root works when inside the body (and the research is mixed).  Applied to skin, ginseng root delivers numerous antioxidant compounds, including various flavonoids, as well as being a decent source of B vitamins.  Research has also shown that topical application of ginseng root boosts skin hydration, diminishes rough texture, helps fade uneven skin tone, and help visibly improve wrinkles by working within skin to bolster its natural firmness.  References for this information: Journal of Ginseng Research, January 2017, pages 69-77; and January, 2015, pages 1-6 Journal of Lifestyle Medicine, March 2014, pages 8-16 Evidence-Based Complementary and Alternative Medicine, January 2013 ePublication"
1133,                    Panicum miliaceum                ,
1134,                    pansy extract                ,Extract for which there is a small amount of research showing it has skin-soothing and antioxidant properties.
1135,                    pantethine                ,Also known as pantothenic acid.
1136,                    panthenol                ,"Alcohol form of the B vitamin pantothenic acid. Panthenol is used in skincare products as a humectant because of its ability to attract and hold moisture. Sometimes called pro-vitamin B5, panthenol mixes readily with many different types of ingredients, making it a versatile ingredient to be used in formulas because it improves the look and feel of skin.References for this information:The Journal of Dermatological Treatment, August 2016, pages 1-7; and December 2002, pages 173-178Journal of Cosmetic Science, July-August 2011, issue 4, pages 361-370American Journal of Clinical Dermatology, Volume 3, 2002, pages 427-433"
1137,                    pantothenic acid                ,"Also called vitamin B5, research shows it can be effective for hydration. Pantothenic acid occurs naturally in many foods (fresh meats, vegetables, and whole grains), and helps the body convert carbohydrates into glucose that we need for energy. Oral supplementation with pantothenic acid appears to help improve breakouts, but the research on this is not substantial.References for this information:Dermatologic Therapy, June 2014, pages 93-101American Journal of Clinical Dermatology, 2002, issue 6, pages 427–433"
1138,                    papain                ,"Enzyme extracted from papaya. Topically, papaya latex can aggravate skin. "
1139,                    papaya extract                ,"Plant extract that is the source of the enzyme papain, which theoretically can have exfoliating properties on skin, although the majority of the research was not performed on skin. Papaya can be a skin sensitizer, but it’s not as potentially risky as pure papain. Still, it’s not an ingredient to apply daily; there are better options for leave-on exfoliants, including glycolic acid and salicylic acid.References for this information:Indian Journal of Pharmacology, November-December 2012, issue 6, pages 784-787"
1140,                    para-aminobenzoic acid (PABA)                ,Sunscreen ingredient rarely used since the 1990s because of strong potential for sensitizing reactions.
1141,                    parabens                ,"Parabens are a group of controversial preservatives that include butylparaben, isobutylparaben, propylparaben, methylparaben, and ethylparaben. All of these were at one time the most widely used group of preservatives used in cosmetics. Parabens were so popular because of their gentle, non-sensitizing, and highly effective profile in comparison to other preservatives but also because they were derived naturally from plants, a rare phenomenon for a preservative. Parabens are found in plants in the form of p-hydroxybenzoic acid (PHBA), a chemical that breaks down to become parabens for a plants own protection. Over the past 10 years parabens have become criticized and condemned for use in cosmetics due to their alleged relation to health concerns affecting women and men. The research about parabens is conflicting and polarizing. Some research indicates they are safe as used in cosmetics and are preferred over other preservatives to keep a formula stable. These studies also showed parabens did not have any effect when compared to natural hormones in the body. However, other research has concluded they are indeed problematic: Some studies determined a 100% concentration of parabens caused skin samples (meaning not intact skin on a person) to break down. However, these studies don’t apply to the tiny amount (1% or less) of parabens typically used in cosmetics. In low amounts, parabens were not shown to harm skin; in fact, they offer a benefit due to their ability to thwart the growth of mold, fungi, and harmful pathogens. Other studies casting parabens in a negative light were based on force-feeding them to rats, a practice that is not only cruel but unrelated to what happens when parabens are applied to skin. There are studies indicating absorption of parabens through skin associated with application of skincare products, but those studies did not take into consideration that parabens are still used as food-grade preservatives or found naturally in plants and that could have been the source not the cosmetics. We also looked at studies showing other questionable effects but those were done in vitro meaning in a petri dish or, again, animal studies in species whose biologic makeup does not closely relate to people. We appreciate the concern about parabens and understand if people choose to avoid them. At Paula’s Choice Skincare we use parabens in a very limited number of products, but that decision is based on other reasons than the scare tactics rampant on the internet. For transparency, we list all ingredients on individual product pages and packaging and our Client Services team is always happy to help.  References for this information: Journal of Exposure Science and Environmental Epidemiology, May 2017, 320-325 Annual Review of Food Science Technology, February 2017, pages 371-390 Journal of Applied Toxicology, April 2017, ePublication Environmental Science and Technology, April 2017, page 4009-4017 Dermatitis, November-December 2015, pages 254-259 Toxicology Letters, December 2013, pages 295-305 Skin Therapy Letter, July-August 2013, pages 5-7 Journal of Agricultural Food Chemistry, June 2008, pages 4631-4636 International Journal of Toxicology, April 2008, pages 1-82 http://www.cosmeticsinfo.org/paraben-information"
1142,                    paraffin                ,"Waxy, petroleum-based substance used as a thickener in cosmetics."
1143,                    Paraffinum liquidum                ,"The Latin name for emollient ingredient mineral oil, also known as liquid paraffin. This term is acceptable to use on cosmetic ingredient lists, but should ideally be followed by “(mineral oil)” so it’s clear to the consumer what they’re getting."
1144,                    Parsol 1789                ,
1145,                    Passiflora edulis extract                ,"The layperson term for this Brazilian-based plant oil is passion fruit, and it’s not a miracle of nature that addresses all kinds of skin concerns. Rather, it’s just one of many good plant oils to improve the look and feel of dry skin. Passion fruit oil has documented skin-soothing properties.  It’s also a source of lycopene, and antioxidant common to tomatoes. There is no research indicating passion fruit oil is a good source of vitamin C, though it does contain several antioxidant compounds.References for this information:International Journal of Cosmetic Science, October 2012, issue 5, pages 435–440Planta Medica, September 2009, pages 1221–1226Acta Cirugica Brasiileira, Volume 21, Supplement 3, 2006, pages 55–65Journal of Medicinal Food, Volume 8, Spring 2005, pages 104–106"
1146,                    Passiflora edulis seed oil                ,"The layperson term for this Brazilian-based plant oil is passion fruit. Also known as maracuja oil, it’s one of many good plant oils that can improve the look and feel of dry skin. Passion fruit oil has documented skin-soothing properties.  It’s also a source of lycopene, and antioxidant common to tomatoes. There’s no research indicating passion fruit oil is a good source of vitamin C, though it does contain several antioxidant compounds that should benefit skin.References for this information:International Journal of Cosmetic Science, October 2012, issue 5, pages 435–440Planta Medica, September 2009, pages 1,221–1,226Acta Cirugica Brasiileira, Volume 21, Supplement 3, 2006, pages 55–65Journal of Medicinal Food, Volume 8, Spring 2005, pages 104–106"
1147,                    passion fruit extract                ,"A good antioxidant plant extract for skin, passion fruit extract's chief benefit when applied topically is skin-soothing."
1148,                    patchouli                ,Fragrant oil derived from mint. It contains eugenol and can aggravate skin.
1149,                    pawpaw extract                ,
1150,                    PCA                ,"PCA (which stands for pyrrolidone carboxylic acid), is an ingredient derived from amino acids that serves as a humectant and is part of the natural moisturizing factor.   References for this information:  International Journal of Cosmetic Science,, February 2017, pages 2-10, and December 2016, pages 567-575 Journal of Dermatological Science, December 2014, pages 231-239"
1151,                    peanut oil                ,Emollient plant oil similar to all nonfragrant plant oils.
1152,                    pecan oil                ,Emollient plant oil similar to all nonfragrant plant oils.
1153,                    pectin                ,"Natural substance found in plants, especially apples, and used in cosmetics as an emulsifier and thickening agent."
1154,                    PEG/PPG-17/6 copolymer                ,PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.
1155,                    PEG/PPG-18/18 dimethicone                ,PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.
1156,                    PEG/PPG-18/4 copolymer                ,
1157,                    PEG/PPG-20/15 dimethicone                ,PEG stands for polyethylene glycol; PPG stands for polypropylene glycol.
1158,                    PEG-100 stearate                ,
1159,                    PEG-10 dimethicone                ,
1160,                    PEG-10 dimethicone/vinyl dimethicone crosspolymer                ,"A synthetic, silicone-enhanced polymer that helps products adhere to skin better."
1161,                    PEG-10 phytosterol                ,"A synthetic or soy-derived (Paula’s Choice Skincare uses the latter) ingredient used in cosmetics as a cleansing agent and emulsifier. As a class of ingredients, soy-based phytosterols are generally recognized as safe for use in cosmetic products.Reference for this information:International Journal of Toxicology, Volume 23, 2004 Supplement 2, pages 23-47"
1162,                    PEG-10 rapeseed sterol                ,A blend of polyethylene glycol (PEG) and the fatty acid component of the rapeseed plant. Used as a surfactant and to help make products soluble. This ingredient may also be listed as PEG-10 phytosterol.
1163,                    PEG-120 methyl glucose dioleate                ,
1164,                    PEG-12 dimethicone                ,
1165,                    PEG-12 glyceryl dimyristate                ,"A skin-replenishing ingredient that is a polymer of ethylene oxide.References for this information: Health Canada Natural Health Products Ingredient Database Next Generation of International Chemical Additives: A Critical Review of Current US Patents, Elsevier, 2012"
1166,                    PEG-14                ,"A synthetic ingredient that functions as a humectant and solvent. With any PEG ingredient followed by a number, the lower the number, the lighter the ingredient. Thus, PEG-33 will feel lighter on skin than PEG-200."
1167,                    PEG-150 distearate                ,
1168,                    PEG-20 methyl glucose sesquistearate                ,"A complex mixture of a glycol with a fatty acid and glucose that funtions multiple ways: emollient, surfactant, or emulsifier."
